registry_id,hospital_name,state,lga,facility_level,facility_level_option,ownership,ownership_type,bed_count,doctor_count,nurse_count,ambulance_count,has_emergency_unit,has_operating_theatre,has_icu,has_blood_bank,source
08/07/1/1/1/0030,Gumsuri Primary Health Care Center,Borno,Damboa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0044,Uba Primary Health Center,Borno,Askira/Uba,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0034,Ngulde Comprehensive Health Center,Borno,Askira/Uba,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/1/1/0021,Shikarkir Primary Health Center,Borno,Chibok,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/1/1/0025,Mifa Health Post,Borno,Chibok,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/20/1/1/1/0008,Gajigana Model Primary Health Care Center,Borno,Magumeri,Primary,Health Post,Public,Unknown,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/19/1/1/1/0022,Nguwom Primary Health Center,Borno,Mafa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/18/1/1/1/0013,Kurbagayi Primary Health Center,Borno,Kwaya Kusar,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
29/22/1/1/1/0002,Abidemi Primary Health Center,Osun,Isokan,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
13/04/1/1/1/0001,Igbara Odo Primary Health Clinic,Ekiti,Ekiti South West,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/24/1/1/1/0030,Water Board Aah Clinic,Borno,Monguno,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/24/1/1/1/0028,Nrc Idps Camp Aah Clinic,Borno,Monguno,Primary,Unknown,Public,Local Government,4,1,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
16/08/1/1/1/0012,Iho Basic Health Center,Imo,Ikeduru,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/15/1/2/1/0001,Rann Primary Health Center,Borno,Kala/Balge,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/25/1/1/1/0007,Gamboru Primary Health Care Center,Borno,Ngala,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0078,Baga Road Primary Health Clinic,Borno,Maiduguri,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/11/1/1/1/0019,Limankara Health Clinic,Borno,Gwoza,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/11/1/1/1/0030,Pulka Primary Health Center,Borno,Gwoza,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/11/1/1/1/0042,Ngoshe Primary Health Clinic,Borno,Gwoza,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0031,Shehu Palace Health Clinic,Borno,Maiduguri,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/03/1/2/2/0001,Naf Emergency Hospital,Borno,Bama,Secondary,Unknown,Public,Military & Paramilitary formations,45,10,24,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0023,Zajeri Primary Health Center,Borno,Maiduguri,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0043,Tampul Primary Health Clinic,Borno,Askira/Uba,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/3/1/0001,Kautikari Primary Health Center,Borno,Chibok,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
02/07/1/1/1/0089,Uba B Primary Health Care Center,Borno,Hong,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/3/1/0001,Maiduguri Federal Neuro Psychiatric Hospital,Borno,Maiduguri,Tertiary,Primary Health Center,Public,Federal Government,207,48,126,4,True,False,True,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/03/1/1/1/0005,Bama Maternity and  Child Health Clinic,Borno,Bama,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
22/05/1/1/1/0059,Abocho Cottage Hospital,Kogi,Dekina,Secondary,Primary Health Center,Public,State Government,47,11,25,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/16/1/1/1/0013,Boarding Primary School Idp Camp Clinic,Borno,Konduga,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/07/1/1/1/0009,Damboa Primary Health Center,Borno,Damboa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
13/01/1/2/2/0005,Adetoyin Venture Hospital,Ekiti,Ado Ekiti,Secondary,Primary Health Center,Private,For Profit,45,10,24,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
03/28/1/1/1/0004,Afaha Ikot Inyang Health Center,Akwa Ibom,Ukanafun,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/13/1/1/1/0038,Muna Koreri Alima Clinic,Borno,Jere,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
28/13/1/1/1/0022,Oro Basic Health Center,Ondo,Odigbo,Primary,Primary Health Center,Public,Unknown,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/24/1/1/1/0011,Monguno Support Programme Icrc Family Clinic,Borno,Monguno,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
13/11/1/1/2/0004,Bisi Odo Ayedun Maternity Clinic,Ekiti,Ikole,Primary,Primary Health Center,Private,For Profit,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0011,Gamboru Primary Health Center,Borno,Maiduguri,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/16/1/1/1/0029,Konduga Primary Health Care Center,Borno,Konduga,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0013,Gwange Primary Health Center,Borno,Maiduguri,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/03/1/2/1/0046,Bama General Hospital,Borno,Bama,Secondary,General Hospital,Public,State Government,84,22,58,3,True,True,False,True,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/20/1/1/1/0011,Kareram A Health Clinic,Borno,Magumeri,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/1/1/0008,Hirpaya Primary Health Center,Borno,Chibok,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/2/0004,Hirku Health Clinic,Borno,Biu,Primary,Primary Health Clinic,Private,For Profit,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/1/0019,Jere Police Health Clinic,Borno,Jere,Secondary,Unknown,Public,Federal Government,52,12,28,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0051,Askira Primary Health Care Center,Borno,Askira/Uba,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/1/1/0012,Kuburmbula Primary Health Center,Borno,Chibok,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/08/1/1/1/0008,Gajibo Primary Health Care Center,Borno,Dikwa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/1/0006,Biu Town Health Post,Borno,Biu,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/16/1/1/1/0044,Pompomari Primary Health Care Center,Borno,Konduga,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/1/0013,Duzuwa Health Post,Borno,Biu,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/1/0031,Panana Health Post,Borno,Biu,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
13/11/1/1/1/0010,Irele Primary Health Clinic,Ekiti,Ikole,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/2/0009,Sauki Health Clinic,Borno,Biu,Primary,Primary Health Clinic,Private,For Profit,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/14/1/1/1/0010,Ngamdu Model Primary Health Care Center,Borno,Kaga,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/12/1/1/1/0029,Shaffa Primary Health Center,Borno,Hawul,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/12/1/1/1/0026,Pelambirin Health Post,Borno,Hawul,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/11/1/2/1/0005,Damasak General Hospital,Borno,Mobbar,Secondary,General Hospital,Public,State Government,84,22,58,3,True,True,False,True,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/07/1/1/1/0061,Damboa Town Health Clinic,Borno,Damboa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0011,Diggiri Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/06/1/1/1/0027,Mbulabam Health Post,Borno,Chibok,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/2/0008,Kwatam Medical Clinic,Borno,Maiduguri,Secondary,Primary Health Center,Private,For Profit,45,10,24,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/21/1/1/2/0004,City Medical Center,Borno,Maiduguri,Secondary,Primary Health Center,Private,For Profit,45,10,24,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
28/17/1/1/1/0019,Ute Basic Health Center,Ondo,Ose,Primary,Primary Health Center,Public,State Government,13,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0048,Walafa Health Post,Borno,Askira/Uba,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/01/1/1/1/0020,Mallam Fatori Primary Health Center,Borno,Abadam,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/16/1/2/1/0001,Konduga General Hospital,Borno,Konduga,Secondary,General Hospital,Public,State Government,84,22,58,3,True,True,False,True,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/16/1/1/1/0026,Kawuri Maternity and  Child Health Clinic,Borno,Konduga,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/19/1/2/1/0001,Mafa General Hospital,Borno,Mafa,Secondary,General Hospital,Public,State Government,84,22,58,3,True,True,False,True,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/17/1/1/1/0003,Baga Health Clinic,Borno,Kukawa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/22/1/1/1/0015,New Marte Maternity and  Child Health Clinic,Borno,Marte,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/11/1/1/1/0041,Kirawa Primary Health Clinic,Borno,Gwoza,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/12/1/1/1/0006,Gwallam Health Post,Borno,Hawul,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/24/1/1/1/0019,Monguno Town Health Post,Borno,Monguno,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/04/1/1/1/0026,Wuyo Primary Health Care Center,Borno,Bayo,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/05/1/1/1/0029,Mirnga Primary Health Clinic,Borno,Biu,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0026,Rumirgo Federal Model Health Center,Borno,Askira/Uba,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
08/02/1/1/1/0027,Muffa Primary Health Clinic,Borno,Askira/Uba,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
