state,lga,population,centroid_latitude,centroid_longitude,nearest_hospital_registry_id,nearest_hospital_name,nearest_care_km,estimated_travel_time_minutes,average_road_speed_kph,road_access_factor,rurality_index,route_source,source
Abia,Aba North,235579,5.113088,7.368223,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Aba South,318624,5.079283,7.351654,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Arochukwu,127954,5.500138,7.816086,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Bende,203630,5.665453,7.618994,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Ikwuano,91151,5.400136,7.58371,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Isiala-Ngwa North,182504,5.389411,7.415714,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Isiala-Ngwa South,233177,5.290636,7.39751,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Isuikwuato,158333,5.792427,7.466375,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Obi Nwga,342564,5.155042,7.464262,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Ohafia,177214,5.655275,7.810637,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Osisioma Ngwa,451797,5.180758,7.329774,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Ugwunagbo,77250,5.016706,7.352412,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Ukwa East,58156,4.944943,7.425673,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Ukwa West,100647,4.942612,7.247947,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Umuahia North,276147,5.584503,7.490239,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Umuahia South,196713,5.487521,7.444813,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Abia,Umu-Nneochi,167779,5.961935,7.397199,,,,,38.0,1.08,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Demsa,189315,9.399038,12.009318,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Fufore,460889,9.19846,12.64258,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Ganye,277598,8.427012,12.016671,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Girei,233070,9.441298,12.48198,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Gombi,287713,10.189298,12.472525,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Guyuk,152455,9.840827,11.907126,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Hong,276670,10.307302,12.926255,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Jada,373532,8.672865,12.437511,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Lamurde,115309,9.562568,11.695038,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Madagali,162538,10.814616,13.521441,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Maiha,183932,9.850276,13.162442,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Mayo-Belwa,297551,8.998696,11.959367,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Michika,223979,10.579699,13.409867,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Mubi North,246527,10.353967,13.347886,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Mubi South,229213,10.179474,13.306846,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Numan,93642,9.445468,11.799091,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Shelleng,129451,9.895092,12.106009,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Song,344045,9.8227,12.621215,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Toungo,114219,7.970232,11.815375,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Yola North,235554,9.253283,12.442721,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Adamawa,Yola South,439517,9.255266,12.349312,,,,,34.0,1.2,1.18,pending-osrm-cache,WorldPop v2.0 mean population
Akwa Ibom,Abak,186491,5.019887,7.772279,,,,,36.0,1.08,1.0,pending-osrm-cache,WorldPop v2.0 mean population
Akwa Ibom,Eastern Obolo,21179,4.520057,7.700902,,,,,36.0,1.08,1.0,pending-osrm-cache,WorldPop v2.0 mean population
Akwa Ibom,Eket,181602,4.637094,7.948086,,,,,36.0,1.08,1.0,pending-osrm-cache,WorldPop v2.0 mean population
